noise,kernel_index,kernel_file,image_index,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,max_iter,gamma1,gamma2,alpha,score_sigma_begin,score_sigma_end,denoise_relax
0.01,1,gaussian_1_6.mat,3,ILSVRC2012_val_00005941.JPEG.png,25.214290618896484,0.7835747599601746,26.33367347717285,156,0.8535504937171936,0.000745502533391118,3.0647001553760056,250,0.5,0.99,0.92,80.0,2.55,0.1
0.01,1,gaussian_1_6.mat,4,ILSVRC2012_val_00007658.JPEG.png,25.757795333862305,0.6550765633583069,27.18313980102539,163,0.7717642188072205,0.0005269372486509383,3.1515748551040015,250,0.5,0.99,0.92,80.0,2.55,0.1
0.01,1,gaussian_1_6.mat,5,ILSVRC2012_val_00028884.JPEG.png,22.789363861083984,0.6240478157997131,23.319992065429688,168,0.6656493544578552,0.0009640041389502585,3.164297988007995,250,0.5,0.99,0.92,80.0,2.55,0.1
0.01,1,gaussian_1_6.mat,6,ILSVRC2012_val_00038157.JPEG.png,26.08049964904785,0.6404334902763367,27.058238983154297,143,0.6988386511802673,0.0004212261119391769,3.1341688243399983,250,0.5,0.99,0.92,80.0,2.55,0.1
0.01,1,gaussian_1_6.mat,7,ILSVRC2012_val_00044012.JPEG.png,30.30583953857422,0.8042295575141907,34.7882080078125,143,0.9244741797447205,0.00042523734737187624,3.168844877727999,250,0.5,0.99,0.92,80.0,2.55,0.1
0.01,2,square_7.mat,1,ILSVRC2012_val_00000491.JPEG.png,24.57280921936035,0.5272372364997864,27.563207626342773,138,0.7054387927055359,0.0004816026776097715,3.1909032928959933,250,0.5,0.99,0.92,80.0,2.55,0.1
0.01,2,square_7.mat,2,ILSVRC2012_val_00002289.JPEG.png,25.476844787597656,0.580414354801178,28.846736907958984,158,0.8429029583930969,0.0006079577724449337,3.1312112164160064,250,0.5,0.99,0.92,80.0,2.55,0.1
0.01,2,square_7.mat,3,ILSVRC2012_val_00005941.JPEG.png,23.932804107666016,0.6922658085823059,26.43402862548828,161,0.8335558772087097,0.0005768021219410002,3.190216763255987,250,0.5,0.99,0.92,80.0,2.55,0.1
0.01,2,square_7.mat,4,ILSVRC2012_val_00007658.JPEG.png,24.30565643310547,0.5540027618408203,27.19876480102539,153,0.7510428428649902,0.0005115101230330765,3.101501358640002,250,0.5,0.99,0.92,80.0,2.55,0.1
0.01,2,square_7.mat,5,ILSVRC2012_val_00028884.JPEG.png,22.032611846923828,0.5828317999839783,23.46528434753418,156,0.666689932346344,0.0008945117006078362,3.094399969684004,250,0.5,0.99,0.92,80.0,2.55,0.1
